TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
20, 0, Flight20, SELECTEE, -1.055121757984942E-15, 1.055121757984942E-15
20, 0, Flight20, UNKNOWN, -5.912201536054819E-6, 5.912201536054819E-6
20, 0, Flight20, LOWRISK1, 5.41203722790543E-5, -5.41203722790543E-5
20, 10, Flight1, SELECTEE, 0.0, 0.0
20, 10, Flight1, UNKNOWN, -4.677837039307637E-6, 4.677837039307637E-6
20, 10, Flight1, LOWRISK1, -0.004975049803586181, 0.004975049803586181
20, 10, Flight2, SELECTEE, 0.0, 0.0
20, 10, Flight2, UNKNOWN, -8.938068821507964E-5, 8.938068821507964E-5
20, 10, Flight2, LOWRISK1, -1.4717782641778118E-4, 1.4717782641778118E-4
20, 10, Flight3, SELECTEE, 0.0, 0.0
20, 10, Flight3, UNKNOWN, -2.408823566022358E-6, 2.408823566022358E-6
20, 10, Flight3, LOWRISK1, -3.8829408925492755E-5, 3.8829408925492755E-5
20, 10, Flight4, SELECTEE, 0.0, 0.0
20, 10, Flight4, UNKNOWN, 1.9024305998103398E-5, -1.9024305998103398E-5
20, 10, Flight4, LOWRISK1, -0.0030907905592834485, 0.0030907905592834485
20, 10, Flight5, SELECTEE, -0.03760968239438346, 0.03760968239438346
20, 10, Flight5, UNKNOWN, -1.4653365269017515E-5, 1.4653365269017515E-5
20, 10, Flight5, LOWRISK1, 2.9599086208812945E-5, -2.9599086208812945E-5
20, 10, Flight6, SELECTEE, 0.0, 0.0
20, 10, Flight6, UNKNOWN, 2.2686432321439896E-6, -2.2686432321439896E-6
20, 10, Flight6, LOWRISK1, 6.457549464306915E-6, -6.457549464306915E-6
20, 10, Flight7, SELECTEE, -5.80247989655365E-4, 5.80247989655365E-4
20, 10, Flight7, UNKNOWN, 1.1905669390471825E-5, -1.1905669390471825E-5
20, 10, Flight7, LOWRISK1, 2.546434684167236E-5, -2.546434684167236E-5
20, 10, Flight8, SELECTEE, 0.0, 0.0
20, 10, Flight8, UNKNOWN, -2.9881268239257663E-5, 2.9881268239257663E-5
20, 10, Flight8, LOWRISK1, -0.002045516817591323, 0.002045516817591323
20, 10, Flight9, SELECTEE, 0.0, 0.0
20, 10, Flight9, UNKNOWN, -9.877027153528061E-5, 9.877027153528061E-5
20, 10, Flight9, LOWRISK1, 9.506182068445708E-5, -9.506182068445708E-5
20, 10, Flight10, SELECTEE, 0.0, 0.0
20, 10, Flight10, UNKNOWN, -7.086059445563796E-5, 7.086059445563796E-5
20, 10, Flight10, LOWRISK1, 6.515013717907849E-5, -6.515013717907849E-5
20, 10, Flight11, SELECTEE, 0.0, 0.0
20, 10, Flight11, UNKNOWN, 3.733795577445639E-6, -3.733795577445639E-6
20, 10, Flight11, LOWRISK1, -0.019709053442660468, 0.019709053442660468
20, 10, Flight12, SELECTEE, -0.039391134005326324, 0.039391134005326324
20, 10, Flight12, UNKNOWN, -3.562915273950565E-5, 3.562915273950565E-5
20, 10, Flight12, LOWRISK1, 9.175422756939554E-6, -9.175422756939554E-6
20, 10, Flight13, SELECTEE, 0.0, 0.0
20, 10, Flight13, UNKNOWN, -8.50433566830686E-4, 8.50433566830686E-4
20, 10, Flight13, LOWRISK1, -0.0033702041116715526, 0.0033702041116715526
20, 10, Flight14, SELECTEE, -0.0014799231543046606, 0.0014799231543046606
20, 10, Flight14, UNKNOWN, -2.886842305719825E-4, 2.886842305719825E-4
20, 10, Flight14, LOWRISK1, -9.39644711293461E-4, 9.39644711293461E-4
20, 10, Flight15, SELECTEE, 0.0, 0.0
20, 10, Flight15, UNKNOWN, -1.5839985418903459E-6, 1.5839985418903459E-6
20, 10, Flight15, LOWRISK1, 5.7645181034594895E-5, -5.7645181034594895E-5
20, 10, Flight16, SELECTEE, -1.4743748809002957E-4, 1.4743748809002957E-4
20, 10, Flight16, UNKNOWN, 2.3764726031826664E-5, -2.3764726031826664E-5
20, 10, Flight16, LOWRISK1, 1.3994500709046838E-5, -1.3994500709046838E-5
20, 10, Flight17, SELECTEE, -5.529652654105938E-4, 5.529652654105938E-4
20, 10, Flight17, UNKNOWN, 3.412372039930051E-5, -3.412372039930051E-5
20, 10, Flight17, LOWRISK1, -1.0664172965241726E-4, 1.0664172965241726E-4
20, 10, Flight18, SELECTEE, 0.0, 0.0
20, 10, Flight18, UNKNOWN, 2.4883682472406166E-5, -2.4883682472406166E-5
20, 10, Flight18, LOWRISK1, 7.113912299465261E-5, -7.113912299465261E-5
20, 10, Flight19, SELECTEE, 0.0, 0.0
20, 10, Flight19, UNKNOWN, -1.5870830359859646E-5, 1.5870830359859646E-5
20, 10, Flight19, LOWRISK1, -3.149715837784895E-5, 3.149715837784895E-5
20, 10, Flight20, SELECTEE, 0.0, 0.0
20, 10, Flight20, UNKNOWN, 2.5389446869931918E-5, -2.5389446869931918E-5
20, 10, Flight20, LOWRISK1, 1.0551457620506845E-4, -1.0551457620506845E-4
30, 0, Flight1, SELECTEE, -0.036554662892869474, 0.036554662892869474
30, 0, Flight1, UNKNOWN, 2.5604760791361652E-5, -2.5604760791361652E-5
30, 0, Flight1, LOWRISK1, -0.0020871556281016838, 0.0020871556281016838
30, 0, Flight2, SELECTEE, -2.614961748004854E-4, 2.614961748004854E-4
30, 0, Flight2, UNKNOWN, 9.879636127651246E-6, -9.879636127651246E-6
30, 0, Flight2, LOWRISK1, 2.1462167264106722E-5, -2.1462167264106722E-5
30, 0, Flight3, SELECTEE, -7.71226761026178E-4, 7.71226761026178E-4
30, 0, Flight3, UNKNOWN, -2.4559501195372287E-5, 2.4559501195372287E-5
30, 0, Flight3, LOWRISK1, -0.0023907862786083723, 0.0023907862786083723
30, 0, Flight4, SELECTEE, -7.479014588974133E-4, 7.479014588974133E-4
30, 0, Flight4, UNKNOWN, -5.3484162924799565E-6, 5.3484162924799565E-6
30, 0, Flight4, LOWRISK1, -1.521554392984487E-4, 1.521554392984487E-4
30, 0, Flight5, SELECTEE, -9.437264809749598E-4, 9.437264809749598E-4
30, 0, Flight5, UNKNOWN, 2.8126974051658922E-5, -2.8126974051658922E-5
30, 0, Flight5, LOWRISK1, -0.001017585075238088, 0.001017585075238088
